file,status,report_type,format,confidence,records,valid_records,invalid_records,error,processing_duration
..\data\incoming\20250425\00001\ACCOUNT_ALTERATION_DETAILS_REPORT.txt.gz,REVIEW,AU0035-01,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\ACCOUNT_CLOSED_REPORT.txt.gz,REVIEW,ACTCLS-01,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\ACCOUNT_OPENED_REPORT.txt.gz,REVIEW,ACTOPN-01,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\ARREARS_BREAK_UP_lond2498.txt.gz,REVIEW,BR2498-01,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\BAL_IN_GL_ACC_GLCC_WISE_DET_.txt.gz,REVIEW,GL7046-01,DELIMITED,0.82,0,0,0,,0.00
..\data\incoming\20250425\00001\BAL_IN_LOAN_ACC_GLCC_WISE_DET.txt.gz,REVIEW,GL7044-01,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\BAL_IN_LOAN_ACC_GLCC_WISE_SUM.txt.gz,REVIEW,GL7044-02,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\Bgl_txn_enquiry_gend0600_153575.txt.gz,REVIEW,GL0600-01,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\CC_OD_Balance_File_depd0580.txt.gz,SUCCESS,IN0580-01,DELIMITED,0.91,840,840,0,,0.02
..\data\incoming\20250425\00001\Coll_Matured_Sec_lond2444.txt.gz,REVIEW,BR2444-01,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\Credit_balance_in_expense_account-gend7042.txt.gz,REVIEW,GL7042-01,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\CUSTOMER_MEMBER_REPORT.txt.gz,REVIEW,CF7469,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\Daily_Productwise_report_loan_dep_clearing_gnbd7376.txt.gz,REVIEW,GB7376,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\Debit_balance_in_income_account-gend7041.txt.gz,REVIEW,UNKNOWN,WHITESPACE,0.70,0,0,0,,0.00
..\data\incoming\20250425\00001\Debit_transactions_on_income_acct-gend7045.txt.gz,REVIEW,GL7045-01,WHITESPACE,0.80,0,0,0,,0.00
..\data\incoming\20250425\00001\Deposits_Balance_File_depd0586.txt.gz,SUCCESS,IN0586-01,DELIMITED,0.94,1496,1496,0,,0.03
..\data\incoming\20250425\00001\DEP_Shadow_file.txt.gz,REVIEW,UNKNOWN,WHITESPACE,0.70,0,0,0,,0.00
