file_name,file_path,file_size,report_id,branch_code,branch_name,process_date,detected_format,detected_report_type,confidence,status,reason
ACCOUNT_ALTERATION_DETAILS_REPORT.txt.gz,..\data\incoming\20250425\00001\ACCOUNT_ALTERATION_DETAILS_REPORT.txt.gz,385,AU0035-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID AU0035-01 detected"
ACCOUNT_CLOSED_REPORT.txt.gz,..\data\incoming\20250425\00001\ACCOUNT_CLOSED_REPORT.txt.gz,2408,ACTCLS-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID ACTCLS-01 detected"
ACCOUNT_OPENED_REPORT.txt.gz,..\data\incoming\20250425\00001\ACCOUNT_OPENED_REPORT.txt.gz,732,ACTOPN-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID ACTOPN-01 detected"
ARREARS_BREAK_UP_lond2498.txt.gz,..\data\incoming\20250425\00001\ARREARS_BREAK_UP_lond2498.txt.gz,12405,BR2498-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID BR2498-01 detected"
BAL_IN_GL_ACC_GLCC_WISE_DET_.txt.gz,..\data\incoming\20250425\00001\BAL_IN_GL_ACC_GLCC_WISE_DET_.txt.gz,10137,GL7046-01,1,HEAD OFFICE,25-04-2025,DELIMITED,DELIMITED,0.82,REVIEW,"Delimiter '==' found consistently, and REPORT_ID GL7046-01 detected"
BAL_IN_LOAN_ACC_GLCC_WISE_DET.txt.gz,..\data\incoming\20250425\00001\BAL_IN_LOAN_ACC_GLCC_WISE_DET.txt.gz,29281,GL7044-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GL7044-01 detected"
BAL_IN_LOAN_ACC_GLCC_WISE_SUM.txt.gz,..\data\incoming\20250425\00001\BAL_IN_LOAN_ACC_GLCC_WISE_SUM.txt.gz,772,GL7044-02,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GL7044-02 detected"
Bgl_txn_enquiry_gend0600_153575.txt.gz,..\data\incoming\20250425\00001\Bgl_txn_enquiry_gend0600_153575.txt.gz,9346,GL0600-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GL0600-01 detected"
CC_OD_Balance_File_depd0580.txt.gz,..\data\incoming\20250425\00001\CC_OD_Balance_File_depd0580.txt.gz,23671,IN0580-01,1,HEAD OFFICE,25-04-2025,DELIMITED,DELIMITED,0.91,READY,"Delimiter '|' found consistently, and REPORT_ID IN0580-01 detected"
Coll_Matured_Sec_lond2444.txt.gz,..\data\incoming\20250425\00001\Coll_Matured_Sec_lond2444.txt.gz,283,BR2444-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID BR2444-01 detected"
Credit_balance_in_expense_account-gend7042.txt.gz,..\data\incoming\20250425\00001\Credit_balance_in_expense_account-gend7042.txt.gz,235,GL7042-01,1,,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GL7042-01 detected"
CUSTOMER_MEMBER_REPORT.txt.gz,..\data\incoming\20250425\00001\CUSTOMER_MEMBER_REPORT.txt.gz,1620,CF7469,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID CF7469 detected"
Daily_Productwise_report_loan_dep_clearing_gnbd7376.txt.gz,..\data\incoming\20250425\00001\Daily_Productwise_report_loan_dep_clearing_gnbd7376.txt.gz,6537,GB7376,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GB7376 detected"
Debit_balance_in_income_account-gend7041.txt.gz,..\data\incoming\20250425\00001\Debit_balance_in_income_account-gend7041.txt.gz,176,,1,HEAD OFFICE,,WHITESPACE,WHITESPACE,0.7,REVIEW,Structure matched WHITESPACE
Debit_transactions_on_income_acct-gend7045.txt.gz,..\data\incoming\20250425\00001\Debit_transactions_on_income_acct-gend7045.txt.gz,324,GL7045-01,1,BRANCH NAMHEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GL7045-01 detected"
Deposits_Balance_File_depd0586.txt.gz,..\data\incoming\20250425\00001\Deposits_Balance_File_depd0586.txt.gz,40476,IN0586-01,1,HEAD OFFICE,25-04-2025,DELIMITED,DELIMITED,0.94,READY,"Delimiter ',' found consistently, and REPORT_ID IN0586-01 detected"
DEP_Shadow_file.txt.gz,..\data\incoming\20250425\00001\DEP_Shadow_file.txt.gz,110955,,,,,WHITESPACE,WHITESPACE,0.7,REVIEW,Structure matched WHITESPACE
Drawing_Power_lond2388.txt.gz,..\data\incoming\20250425\00001\Drawing_Power_lond2388.txt.gz,1682,BR2388-01,1,HEAD OFFICE,25-04-2025,DELIMITED,DELIMITED,0.8,REVIEW,"Delimiter ',' found consistently, and REPORT_ID BR2388-01 detected"
EXCEPTION_REPORT_depd0670.txt.gz,..\data\incoming\20250425\00001\EXCEPTION_REPORT_depd0670.txt.gz,833,IN0670-01,1,HEAD OFFICE,25-04-2025,DELIMITED,DELIMITED,0.92,READY,"Delimiter ',' found consistently, and REPORT_ID IN0670-01 detected"
exception_report_for_interest_rates_variation_depd0650.txt.gz,..\data\incoming\20250425\00001\exception_report_for_interest_rates_variation_depd0650.txt.gz,404,IN0650-01,1,HEAD OFFICE,25-04-2025,DELIMITED,DELIMITED,0.83,REVIEW,"Delimiter ',' found consistently, and REPORT_ID IN0650-01 detected"
gend1012.prt.txt.gz,..\data\incoming\20250425\00001\gend1012.prt.txt.gz,954,GL1012-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GL1012-01 detected"
gend1012.prt2.txt.gz,..\data\incoming\20250425\00001\gend1012.prt2.txt.gz,258,GL1012-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GL1012-01 detected"
GL-DayBook-gend0807.txt.gz,..\data\incoming\20250425\00001\GL-DayBook-gend0807.txt.gz,2708,GL0807-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GL0807-01 detected"
GLCC_WISE_BAL_REP.txt.gz,..\data\incoming\20250425\00001\GLCC_WISE_BAL_REP.txt.gz,65272,GL7043-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GL7043-01 detected"
GLCC_WISE_SUM_REP.txt.gz,..\data\incoming\20250425\00001\GLCC_WISE_SUM_REP.txt.gz,889,GL7043-02,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID GL7043-02 detected"
HomeBranchUsers-cfpd0300.txt.gz,..\data\incoming\20250425\00001\HomeBranchUsers-cfpd0300.txt.gz,743,SY0300-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID SY0300-01 detected"
Id_Least_Transaction_lond2482.txt.gz,..\data\incoming\20250425\00001\Id_Least_Transaction_lond2482.txt.gz,309,BR2482-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID BR2482-01 detected"
Id_Users_Logged_No_Transactions_lond2482.txt.gz,..\data\incoming\20250425\00001\Id_Users_Logged_No_Transactions_lond2482.txt.gz,389,BR2482-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID BR2482-01 detected"
Id_Users_Terminals_Not_Logged_lond2482.txt.gz,..\data\incoming\20250425\00001\Id_Users_Terminals_Not_Logged_lond2482.txt.gz,600,BR2482-01,1,HEAD OFFICE,25-04-2025,WHITESPACE,WHITESPACE,0.8,REVIEW,"Structure matched WHITESPACE, and REPORT_ID BR2482-01 detected"
Interbranch_Transactions_by_us_cifd0528.txt.gz,..\data\incoming\20250425\00001\Interbranch_Transactions_by_us_cifd0528.txt.gz,678,,1,HEAD OFFICE,,WHITESPACE,WHITESPACE,0.7,REVIEW,Structure matched WHITESPACE
